,genre_ids,id,original_title,overview,popularity,release_date,title,video,vote_average,vote_count
0,"[28, 12, 14, 35]",436969,The Suicide Squad,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",2889.059,2021-07-28,The Suicide Squad,False,8.0,3322
1,"[28, 878, 12]",588228,The Tomorrow War,"The world is stunned when a group of time travelers arrive from the year 2051 to deliver an urgent message: Thirty years in the future, mankind is losing a global war against a deadly alien species. The only hope for survival is for soldiers and civilians from the present to be transported to the future and join the fight. Among those recruited is high school teacher and family man Dan Forester. Determined to save the world for his young daughter, Dan teams up with a brilliant scientist and his estranged father in a desperate quest to rewrite the fate of the planet.",2325.63,2021-09-03,The Tomorrow War,False,8.1,137
2,"[12, 14, 35, 28]",451048,Jungle Cruise,"Dr. Lily Houghton enlists the aid of wisecracking skipper Frank Wolff to take her down the Amazon in his dilapidated boat. Together, they search for an ancient tree that holds the power to heal – a discovery that will change the future of medicine.",2321.571,2021-07-28,Jungle Cruise,False,7.9,2297
3,"[28, 53, 18]",619297,Sweet Girl,"A devastated husband vows to bring justice to the people responsible for his wife's death while protecting the only family he has left, his daughter.",2133.939,2021-08-18,Sweet Girl,False,6.9,408
4,"[16, 10751, 12, 35]",675445,PAW Patrol: The Movie,Ryder and the pups are called to Adventure City to stop Mayor Humdinger from turning the bustling metropolis into a state of chaos.,2021.478,2021-08-09,PAW Patrol: The Movie,False,8.1,319
5,"[28, 12, 53, 878]",497698,Black Widow,"Natasha Romanoff, also known as Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger.",1816.8,2021-07-07,Black Widow,False,7.8,4680
6,"[16, 35, 10751, 878]",379686,Space Jam: A New Legacy,"When LeBron and his young son Dom are trapped in a digital space by a rogue A.I., LeBron must get them home safe by leading Bugs, Lola Bunny and the whole gang of notoriously undisciplined Looney Tunes to victory over the A.I.'s digitized champions on the court. It's Tunes versus Goons in the highest-stakes challenge of his life.",1566.778,2021-07-08,Space Jam: A New Legacy,False,7.4,2036
7,"[80, 18, 53]",860425,Sinaliento,,1523.081,2021-08-11,Breathless,False,7.7,13
8,"[28, 18, 80]",706972,Narco Sub,"A man will become a criminal to save his family.  Director: Shawn Welling  Writer: Derek H. Potts  Stars: Tom Vera, Tom Sizemore, Lee Majors |",1505.279,2021-07-22,Narco Sub,False,7.1,41
9,"[16, 35]",573164,Un rescate de huevitos,A rooster and his fowl partner embark on a dangerous trip to the Congo to recover their stolen eggs from a group of Russian goons.,1471.237,2021-08-12,Eggs Run,False,8.3,195
10,"[35, 28, 12, 878]",550988,Free Guy,A bank teller called Guy realizes he is a background character in an open world video game called Free City that will soon go offline.,1450.767,2021-08-11,Free Guy,False,7.8,525
11,"[28, 12, 14]",566525,Shang-Chi and the Legend of the Ten Rings,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,1296.513,2021-09-01,Shang-Chi and the Legend of the Ten Rings,False,7.9,95
12,"[28, 80, 53]",385128,F9,Dominic Toretto and his crew battle the most skilled assassin and high-performance driver they've ever encountered: his forsaken brother.,1265.897,2021-05-19,F9,False,7.6,3308
13,"[878, 28, 53]",581726,Infinite,"Evan McCauley has skills he never learned and memories of places he has never visited. Self-medicated and on the brink of a mental breakdown, a secret group that call themselves “Infinites” come to his rescue, revealing that his memories are real.",1202.15,2021-06-10,Infinite,False,7.5,922
14,"[16, 35, 12, 10751]",459151,The Boss Baby: Family Business,The Templeton brothers — Tim and his Boss Baby little bro Ted — have become adults and drifted away from each other. But a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.,1169.165,2021-07-01,The Boss Baby: Family Business,False,7.8,1304
15,"[16, 35, 10751, 14]",508943,Luca,Luca and his best friend Alberto experience an unforgettable summer on the Italian Riviera. But all the fun is threatened by a deeply-held secret: they are sea monsters from another world just below the water’s surface.,1127.363,2021-06-17,Luca,False,8.1,4258
16,[35],678580,El mesero,A waiter pretends to be an important businessman in order to reach the upper class through his entrepreneurial dreams.,1084.644,2021-07-15,El mesero,False,8.4,208
17,[53],847981,Schwarze Insel,The dark secrets of a seemingly peaceful island threaten to swallow up an orphaned student when he grows close to a mysterious new teacher.,1047.6,2021-08-18,Black Island,False,6.4,83
18,"[35, 10749]",347626,He's All That,"To get revenge on her ex-boyfriend, an influencer attempts to transform an unpopular classmate into prom king.",971.985,2021-08-27,He's All That,False,7.0,290
19,"[28, 35]",729720,Le Dernier Mercenaire,"A mysterious former secret service agent must urgently return to France when his estranged son  is falsely accused of arms and drug trafficking by the government, following a blunder by an overzealous bureaucrat and a mafia operation.",962.521,2021-07-30,The Last Mercenary,False,7.0,344
